#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
214	Primecoin Primecoin	XPM	$29,784,015	$1.24	24,109,420	$297,630	0.26%	2.85%	-0.63%
215	Distributed Credit Chain Distributed C...	DCC	$29,302,085	$0.033534	873,800,162 *	$2,283,094	0.01%	14.97%	?
216	Internet Node Token Internet Node...	INT	$29,038,920	$0.098286	295,454,000 *	$3,656,124	0.39%	-4.73%	-2.90%
217	AdEx AdEx	ADX	$28,998,856	$0.394915	73,430,701 *	$4,310,487	-0.03%	1.10%	18.70%
218	Swarm Swarm	SWM	$28,926,356	$0.565926	51,113,355 *	$29,410	-0.83%	-5.68%	34.98%
219	Burst Burst	BURST	$28,665,224	$0.014631	1,959,215,123	$71,147	-0.10%	-0.44%	-1.65%
220	NavCoin NavCoin	NAV	$28,597,741	$0.453774	63,021,952 *	$2,325,825	0.79%	11.39%	4.34%
221	Litecoin Cash Litecoin Cash	LCC	$28,563,254	$0.049581	576,092,280	$87,470	-0.01%	1.68%	3.46%
222	Gulden Gulden	NLG	$28,449,374	$0.071088	400,200,581	$102,004	0.11%	2.34%	2.58%
223	QuarkChain QuarkChain	QKC	$28,393,118	$0.079436	357,431,729 *	$7,009,087	-0.18%	-9.87%	-18.37%
224	PayPie PayPie	PPP	$27,918,504	$0.338406	82,500,000 *	$1,564	0.07%	50.15%	19.70%
225	OriginTrail OriginTrail	TRAC	$27,911,819	$0.104050	268,253,992 *	$54,799	0.06%	-2.41%	3.12%
226	Eidoo Eidoo	EDO	$27,861,437	$0.952155	29,261,461 *	$1,820,876	0.17%	4.67%	6.27%
227	Tokenomy Tokenomy	TEN	$27,794,261	$0.222354	125,000,000 *	$156,715	-0.02%	-0.96%	-2.14%
